"Nama"	"Alamat"	"Telpon"	"Kota"	"Website"
"MASJID AL MUJAHIDIN"	"Jl. Ahmad Yani, Gang Jalak Putih No. 25"	0	"Singaraja"	
"MASJID BAITURRAHIM"	"Jl. Dewi Sartika Utara No. 58"	0	"Singaraja"	
"MASJID JAMIK SAFINATUSSALAM"	"Desa Pegayaman, Kec. Sukasada"	0	"Kab. Buleleng"	
"MASJID NUR"	"Jl. Erlangga"	0	"Singaraja"	
"MASJID NURUL IMAN"	"Jl. Raya Singaraja - Seririt Km 5,6, Desa Pemaron"	0	"Kab. Buleleng"	
"MASJID TAQWA"	"Jl. Pattimura"	0	"Singaraja"	
"MASJID UKHWATUL ISLAM"	"Jl. Raya Singaraja - Gilimanuk, Desa Kaliasem, Lovina"	0	"Kab. Buleleng"	
"MUSHOLLA BABUSSALAM"	"Jl. Pulau Selayar"	0	"Singaraja"	
"MASJID AL HIKMAH"	"Kampung Buitan, Kecamatan Manggis"	0	"Kabupaten Karangasem"	
"MASJID AN NUR"	"Jl. Diponegoro"	0	"Amlapura"	
"MASJID AT TAQWA"	"Jl. Jend. Sudirman, Subagan"	0	"Amlapura"	
"MASJID BAITUR RAHMAN"	"Jl. Diponegoro, Karang Langko"	0	"Amlapura"	
"MASJID BAITUR RAHMAN"	"Desa Tumbu, Kecamatan Karangasem"	0	"Kabupaten Karangasem"	
"MASJID JAMI' AL MUKHLISIN"	"Jl. H. Samanhudi,Subagan"	0	"Amlapura"	
"MASJID MARHABAN"	"Jl.Bhayangkara No.9,Kompleks Polres Karangasem"	0	"Amlapura"	
"Masjid Ath-Thoyyibah"	" Belakang Perumahan Bumi Marina Mas, Keputih"	0	"Surabaya"	
"Masjid Ibrahim bin Muhammad"	" Kompleks Rumdis TNI-AL Semolowaru Bahari, Jl. Semolowaru Bahari II/9"	0	"Surabaya"	
"Masjid UNTAG"	"Kampus UNTAG, Jl. Nginden Semolo"	0	"Surabaya"	
"Masjid An-Nur STIKOM"	" Kampus STIKOM, Jl. Raya Kedung Baruk 98"	0	"Surabaya"	
"Masjid Mujahidin"	" Jl. Undaan Kulon, masuk jalan/gang Klimbungan Gang I (Depan Apotik Metro Farma)"	0	"Surabaya"	
"Musholla Elektro ITS"	" Daerah Kampus ITS Sukolilo"	0	"Surabaya"	
